,completionAttempts,defensiveTDs,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,homeAway,id,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesDeflected,passesIntercepted,passingTDs,points,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,qbHurries,rushingAttempts,rushingTDs,rushingYards,sacks,tackles,tacklesForLoss,thirdDownEff,totalFumbles,totalPenaltiesYards,totalYards,turnovers,week,yardsPerPass,yardsPerRushAttempt,year
0,nan,,,nan,,,No_Game,,,,,,,,,,,,,,nan,,,,,,,,,,,nan,,nan,,,1.0,,,2014.0
0,7-7,,17,3-3,2,0,home,400548098,0,43,0,0,35,3,5,125,,3,0,47,29:30,,,,,54,7,341,,,,5-11,,12-105,466,2,2.0,17.9,6.3,2014.0
0,3-5,,12,2-4,1,1,away,400548265,,,1,0,4,1,,9,,,0,0,33:36,0,2,2,,56,0,198,,,,4-14,,2-20,207,2,3.0,1.8,3.5,2014.0
0,3-5,,17,2-2,2,0,away,400547832,0,10,0,0,41,2,3,18,,1,1,21,35:33,0,-1,1,,59,2,341,,,,3-12,,7-57,359,2,4.0,3.6,5.8,2014.0
0,12-21,,23,1-3,0,1,away,400548459,1,45,0,0,43,3,5,211,,1,1,43,28:55,0,4,1,,53,4,386,,,,6-14,,8-70,597,0,5.0,10.0,7.3,2014.0
0,2-5,,24,0-1,1,1,home,400548120,0,7,0,0,39,1,9,48,,1,0,33,37:54,0,0,1,,69,4,425,,,,9-15,,1-15,473,1,6.0,9.6,6.2,2014.0
0,6-14,,19,1-3,2,0,home,400548049,,,0,0,37,2,3,91,,,1,21,28:35,0,5,1,,54,2,250,,,,5-13,,2-24,341,2,7.0,6.5,4.6,2014.0
0,5-15,,19,0-4,0,0,away,400548134,0,0,1,0,149,9,5,35,,1,0,17,26:18,,,,,56,2,295,,,,5-13,,5-38,330,1,8.0,2.3,5.3,2014.0
0,nan,,,nan,,,No_Game,,,,,,,,,,,,,,nan,,,,,,,,,,,nan,,nan,,,9.0,,,2014.0
0,3-13,,8,1-2,1,0,home,400548226,0,31,0,0,31,3,6,47,,1,0,6,23:39,0,-1,1,,38,0,122,,,,1-12,,3-41,169,1,10.0,3.6,3.2,2014.0
0,2-3,,22,2-2,1,0,home,400547705,1,101,0,0,18,2,5,38,,2,0,35,34:07,0,0,2,,60,4,327,,,,7-12,,3-30,365,1,11.0,12.7,5.4,2014.0
0,3-6,,18,0-2,0,0,away,400548077,,,0,0,127,8,6,40,,,0,24,30:45,0,3,2,,57,3,293,,,,6-13,,3-20,333,0,12.0,6.7,5.1,2014.0
0,2-4,,22,4-4,0,0,home,400548460,0,0,0,0,64,3,6,48,,1,0,42,34:44,1,9,3,,64,5,382,,,,7-14,,1-5,430,0,13.0,12.0,6.0,2014.0
