,Week,Year,defense,defense_conference,drive_number,drive_result,elapsed,end_period,end_time,end_yardline,end_yards_to_goal,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,start_yards_to_goal,yards
0,2.0,2014.0,Buffalo,Mid-American,1,FUMBLE,"{'seconds': 50, 'minutes': 0}",1,"{'minutes': 14, 'seconds': 10}",48,52,400548098,4005480981,Army,FBS Independents,2,False,1,"{'minutes': 15, 'seconds': 0}",38,62,10
2,2.0,2014.0,Buffalo,Mid-American,3,TD,"{'minutes': 6, 'seconds': 13}",1,"{'minutes': 4, 'seconds': 13}",100,0,400548098,4005480983,Army,FBS Independents,11,True,1,"{'minutes': 10, 'seconds': 26}",25,75,75
4,2.0,2014.0,Buffalo,Mid-American,5,TD,"{'minutes': 4, 'seconds': 15}",2,"{'minutes': 10, 'seconds': 33}",100,0,400548098,4005480985,Army,FBS Independents,7,True,2,"{'minutes': 14, 'seconds': 48}",20,80,80
6,2.0,2014.0,Buffalo,Mid-American,7,PUNT,"{'minutes': 5, 'seconds': 0}",2,"{'minutes': 1, 'seconds': 5}",52,48,400548098,4005480987,Army,FBS Independents,11,False,2,"{'minutes': 6, 'seconds': 5}",12,88,40
8,2.0,2014.0,Buffalo,Mid-American,9,TD,"{'seconds': 12, 'minutes': 0}",2,"{'seconds': 22, 'minutes': 0}",100,0,400548098,4005480989,Army,FBS Independents,2,True,2,"{'seconds': 34, 'minutes': 0}",92,8,8
11,2.0,2014.0,Buffalo,Mid-American,12,PUNT,"{'minutes': 3, 'seconds': 53}",3,"{'minutes': 8, 'seconds': 14}",46,54,400548098,40054809812,Army,FBS Independents,6,False,3,"{'minutes': 12, 'seconds': 7}",35,65,11
13,2.0,2014.0,Buffalo,Mid-American,14,TD,"{'seconds': 16, 'minutes': 0}",3,"{'minutes': 5, 'seconds': 57}",100,0,400548098,40054809814,Army,FBS Independents,1,True,3,"{'minutes': 6, 'seconds': 13}",55,45,45
15,2.0,2014.0,Buffalo,Mid-American,16,TD,"{'seconds': 50, 'minutes': 0}",3,"{'minutes': 3, 'seconds': 22}",100,0,400548098,40054809816,Army,FBS Independents,2,True,3,"{'minutes': 4, 'seconds': 12}",58,42,42
17,2.0,2014.0,Buffalo,Mid-American,18,TD,"{'minutes': 4, 'seconds': 53}",4,"{'minutes': 11, 'seconds': 55}",100,0,400548098,40054809818,Army,FBS Independents,11,True,3,"{'minutes': 1, 'seconds': 54}",25,75,75
19,2.0,2014.0,Buffalo,Mid-American,20,TD,"{'seconds': 33, 'minutes': 0}",4,"{'minutes': 11, 'seconds': 10}",100,0,400548098,40054809820,Army,FBS Independents,2,True,4,"{'minutes': 11, 'seconds': 43}",67,33,33
22,2.0,2014.0,Buffalo,Mid-American,23,FUMBLE,"{'seconds': 54, 'minutes': 0}",4,"{'minutes': 5, 'seconds': 3}",67,33,400548098,40054809823,Army,FBS Independents,2,False,4,"{'minutes': 5, 'seconds': 57}",57,43,10
24,2.0,2014.0,Buffalo,Mid-American,25,PUNT,"{'minutes': 1, 'seconds': 41}",4,"{'seconds': 57, 'minutes': 0}",47,53,400548098,40054809825,Army,FBS Independents,3,False,4,"{'minutes': 2, 'seconds': 38}",44,56,3
