,Week,Year,away,clock,defense,defense_conference,defense_score,defense_timeouts,distance,down,drive_id,drive_number,game_id,home,id,offense,offense_conference,offense_score,offense_timeouts,period,play_number,play_text,play_type,ppa,scoring,yard_line,yards_gained,yards_to_goal
1,2.0,2014.0,Buffalo,"{'minutes': 15, 'seconds': 0}",Buffalo,Mid-American,0,3,10,1,4005480981,1,400548098,Army,400548098101849903,Army,FBS Independents,0,3,1,2,Larry Dixon run for 1 yd to the Army 39,Rush,-0.8867433222723467,False,38,1,62
2,2.0,2014.0,Buffalo,"{'minutes': 15, 'seconds': 0}",Buffalo,Mid-American,0,3,9,2,4005480981,1,400548098,Army,400548098101849904,Army,FBS Independents,0,3,1,3,"Angel Santiago run for 2 yds to the Army 48 Angel Santiago fumbled, forced by Lee Skinner, recovered by Buff Witney Sherry",Fumble Recovery (Opponent),,False,39,2,61
13,2.0,2014.0,Buffalo,"{'minutes': 10, 'seconds': 26}",Buffalo,Mid-American,3,3,10,1,4005480983,3,400548098,Army,400548098101897303,Army,FBS Independents,0,3,1,2,Larry Dixon run for 2 yds to the Army 27,Rush,-0.45260367932203764,False,25,2,75
14,2.0,2014.0,Buffalo,"{'minutes': 10, 'seconds': 26}",Buffalo,Mid-American,3,3,8,2,4005480983,3,400548098,Army,400548098101897304,Army,FBS Independents,0,3,1,3,"ARMY Penalty, false start (-5 Yards) to the Army 22",Penalty,,False,27,-5,73
15,2.0,2014.0,Buffalo,"{'minutes': 10, 'seconds': 26}",Buffalo,Mid-American,3,3,13,2,4005480983,3,400548098,Army,400548098101897305,Army,FBS Independents,0,3,1,4,"ARMY Penalty, illegal formation (-5 Yards) to the Army 17",Penalty,,False,22,-5,78
16,2.0,2014.0,Buffalo,"{'minutes': 10, 'seconds': 26}",Buffalo,Mid-American,3,3,18,2,4005480983,3,400548098,Army,400548098101897306,Army,FBS Independents,0,3,1,5,Larry Dixon run for 4 yds to the Army 21,Rush,-0.01746305817342986,False,17,4,83
17,2.0,2014.0,Buffalo,"{'minutes': 10, 'seconds': 26}",Buffalo,Mid-American,3,3,14,3,4005480983,3,400548098,Army,400548098101897307,Army,FBS Independents,0,3,1,6,Angel Santiago pass complete to Raymond Maples for 30 yds to the Buff 49 for a 1ST down,Pass Reception,3.5088741133138530,False,21,30,79
18,2.0,2014.0,Buffalo,"{'minutes': 10, 'seconds': 26}",Buffalo,Mid-American,3,3,10,1,4005480983,3,400548098,Army,400548098101897318,Army,FBS Independents,0,3,1,7,Larry Dixon run for 7 yds to the Buff 42,Rush,0.5750427781648640,False,51,7,49
19,2.0,2014.0,Buffalo,"{'minutes': 10, 'seconds': 26}",Buffalo,Mid-American,3,3,3,2,4005480983,3,400548098,Army,400548098101897319,Army,FBS Independents,0,3,1,8,Larry Dixon run for 3 yds to the Buff 39 for a 1ST down,Rush,,False,58,3,42
20,2.0,2014.0,Buffalo,"{'minutes': 10, 'seconds': 26}",Buffalo,Mid-American,3,3,10,1,4005480983,3,400548098,Army,400548098101897320,Army,FBS Independents,0,3,1,9,Matt Giachinta run for 3 yds to the Buff 36,Rush,-0.2585563392598456,False,61,3,39
21,2.0,2014.0,Buffalo,"{'minutes': 10, 'seconds': 26}",Buffalo,Mid-American,3,3,7,2,4005480983,3,400548098,Army,400548098101897321,Army,FBS Independents,0,3,1,10,Angel Santiago pass complete to Kelvin White for 6 yds to the Buff 30,Pass Reception,0.2613128996473096,False,64,6,36
22,2.0,2014.0,Buffalo,"{'minutes': 10, 'seconds': 26}",Buffalo,Mid-American,3,3,1,3,4005480983,3,400548098,Army,400548098101897322,Army,FBS Independents,0,3,1,11,Larry Dixon run for no gain to the Buff 30,Rush,-0.8875951488614715,False,70,0,30
23,2.0,2014.0,Buffalo,"{'minutes': 10, 'seconds': 26}",Buffalo,Mid-American,3,3,1,4,4005480983,3,400548098,Army,400548098101897323,Army,FBS Independents,0,3,1,12,Angel Santiago run for 3 yds to the Buff 27 for a 1ST down,Rush,1.2839963020140725,False,70,3,30
24,2.0,2014.0,Buffalo,"{'minutes': 10, 'seconds': 26}",Buffalo,Mid-American,3,3,10,1,4005480983,3,400548098,Army,400548098101897324,Army,FBS Independents,0,3,1,13,Larry Dixon run for 4 yds to the Buff 23,Rush,-0.0405526131909575,False,73,4,27
25,2.0,2014.0,Buffalo,"{'minutes': 4, 'seconds': 20}",Buffalo,Mid-American,3,3,6,2,4005480983,3,400548098,Army,400548098101957901,Army,FBS Independents,7,3,1,14,"Larry Dixon run for 23 yds for a TD, (Daniel Grochowski KICK)",Rushing Touchdown,2.7818334545824435,True,77,23,23
26,2.0,2014.0,Buffalo,"{'minutes': 4, 'seconds': 20}",Buffalo,Mid-American,3,3,0,1,4005480984,4,400548098,Army,400548098101957903,Army,FBS Independents,7,3,1,1,"Daniel Grochowski kickoff for 61 yds , Jamarl Eiland return for 2 yds to the Buff 6",Kickoff,,False,35,2,65
41,2.0,2014.0,Buffalo,"{'minutes': 14, 'seconds': 48}",Buffalo,Mid-American,3,3,10,1,4005480985,5,400548098,Army,400548098102855102,Army,FBS Independents,7,3,2,1,Tony Giovannelli run for 18 yds to the Army 38 for a 1ST down,Rush,1.4330541549256122,False,20,18,80
42,2.0,2014.0,Buffalo,"{'minutes': 14, 'seconds': 48}",Buffalo,Mid-American,3,3,10,1,4005480985,5,400548098,Army,400548098102855103,Army,FBS Independents,7,3,2,2,"Maples, Raymond rush for 10 yards to the ARMY48 (ROBERSON, K.), PENALTY ARMY clipping (Poe, Edgar) 10 yards to the ARMY28, NO PLAY.",Penalty,,False,38,-10,62
43,2.0,2014.0,Buffalo,"{'minutes': 14, 'seconds': 48}",Buffalo,Mid-American,3,3,20,1,4005480985,5,400548098,Army,400548098102855104,Army,FBS Independents,7,3,2,3,"ARMY Penalty, false start (Terry Baggett) to the Army 23",Penalty,,False,28,-5,72
44,2.0,2014.0,Buffalo,"{'minutes': 14, 'seconds': 48}",Buffalo,Mid-American,3,3,25,1,4005480985,5,400548098,Army,400548098102855105,Army,FBS Independents,7,3,2,4,Terry Baggett run for 3 yds to the Army 26,Rush,-0.06972980259164707,False,23,3,77
45,2.0,2014.0,Buffalo,"{'minutes': 14, 'seconds': 48}",Buffalo,Mid-American,3,3,22,2,4005480985,5,400548098,Army,400548098102855106,Army,FBS Independents,7,3,2,5,Terry Baggett run for 27 yds to the Buff 47 for a 1ST down,Rush,3.59529404639584823,False,26,27,74
46,2.0,2014.0,Buffalo,"{'minutes': 14, 'seconds': 48}",Buffalo,Mid-American,3,3,10,1,4005480985,5,400548098,Army,400548098102855107,Army,FBS Independents,7,3,2,6,Raymond Maples run for 3 yds to the Buff 44,Rush,-0.3535783157576075,False,53,3,47
